date,season,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,result,home_elo_before,away_elo_before,elo_diff,home_elo_trend_5,elo_change_home,elo_change_away,home_points_last5,away_points_last5,form_diff_points_last5,home_goals_scored_rm5,away_goals_conceded_rm5,home_form_ratio,away_form_ratio,home_gd_roll5,away_gd_roll5,avg_goal_diff_last5,home_cleansheets_last5,away_cleansheets_last5,home_btts_last5,p_home_market,p_draw_market,p_away_market,overround_wdl,p_home_fair,p_draw_fair,p_away_fair,round,max_round,is_first_half,season_half,days_since_season_start,rest_days_home,matches_last14_home,rest_days_away,matches_last14_away
2024-08-31,2024/2025,Ipswich,Fulham,1,1,3.1,3.5,2.31,D,1466.1,1500.3,-32.1,-16.965,1.08,-1.08,,,-3.0,0.5,1.0,,1.0,-2.5,0.0,-2.5,0.0,0.0,1.0,0.3225806451612903,0.2857142857142857,0.4329004329004329,1.041195363776009,0.3098175965665236,0.2744098712446352,0.4157725321888412,7,109,True,H1,15,14.0,1.0,15.0,0.0
2024-08-31,2024/2025,Leicester,Aston Villa,1,2,4.62,4.02,1.74,A,1488.7,1494.8,-27.7,-5.675,-10.81,10.81,,,-2.0,1.0,1.5,1.0,1.0,-0.5,-0.5,0.0,0.0,0.0,2.0,0.21645021645021645,0.24875621890547267,0.5747126436781609,1.03991907903385,0.20814140332083558,0.23920728441349765,0.5526513122656669,7,109,True,H1,15,12.0,1.0,14.0,1.0
2024-08-31,2024/2025,Nott'm Forest,Wolves,1,1,2.03,3.66,3.65,D,1510.7,1464.2,43.5,5.325,-1.46,1.46,,,4.0,1.0,4.0,1.0,,0.5,-3.0,3.5,1.0,0.0,1.0,0.4926108374384237,0.27322404371584696,0.273972602739726,1.0398074838939966,0.4737519637708657,0.26276406733739266,0.2634839688917417,7,109,True,H1,15,14.0,1.0,14.0,1.0
2024-08-31,2024/2025,West Ham,Man City,1,3,7.57,5.49,1.38,A,1505.5,1533.9,-58.7,2.75,-15.15,15.15,,,-3.0,1.5,0.5,1.0,1.0,0.5,2.5,-2.0,1.0,1.0,1.0,0.1321003963011889,0.18214936247723132,0.7246376811594204,1.0388874399378407,0.12715563902581475,0.17533118168040396,0.6975131792937812,7,109,True,H1,15,14.0,1.0,13.0,1.0
2024-09-01,2024/2025,Chelsea,Crystal Palace,1,1,1.63,4.4,5.01,D,1502.8,1472.5,28.3,1.375,-0.96,0.96,,,3.0,3.0,2.0,1.0,,1.0,-1.5,2.5,0.0,0.0,1.0,0.6134969325153374,0.22727272727272727,0.1996007984031936,1.0403704581912583,0.5896908429925393,0.21845365319950885,0.1918555038079519,8,109,True,H1,16,14.0,1.0,14.0,1.0
2024-09-01,2024/2025,Newcastle,Tottenham,2,1,2.51,3.97,2.56,H,1510.7,1518.2,14.9,5.325,11.24,-11.24,,,0.0,1.0,0.5,1.0,1.0,0.5,2.0,-1.5,1.0,1.0,1.0,0.39840637450199207,0.2518891687657431,0.390625,1.040920543267735,0.38274427100005654,0.24198693204285687,0.37526879695708665,8,109,True,H1,16,15.0,0.0,13.0,1.0
2024-09-01,2024/2025,Man United,Liverpool,0,3,3.82,4.2,1.85,A,1500.3,1532.7,-67.4,0.1299999999999999,-17.46,17.46,,,-3.0,1.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0,2.0,1.0,0.2617801047120419,0.23809523809523808,0.5405405405405405,1.0404158833478205,0.25161102295910104,0.2288462161199443,0.5195427609209545,8,109,True,H1,16,16.0,0.0,15.0,0.0
2024-09-14,2024/2025,Southampton,Man United,0,3,4.56,4.04,1.74,A,1462.6,1482.8,-56.4,-12.456666666666669,-18.13,18.13,,,-3.0,0.3333333333333333,1.6666666666666667,,1.0,-1.3333333333333333,-1.0,-0.3333333333333332,0.0,1.0,1.0,0.2192982456140351,0.24752475247524752,0.5747126436781609,1.0415356417674435,0.21055279994249157,0.23765365538063404,0.5517935446768744,9,109,True,H1,29,21.0,0.0,21.0,0.0
2024-09-14,2024/2025,Brighton,Ipswich,0,0,1.38,5.16,7.89,D,1530.1,1467.2,59.0,10.026666666666667,-1.97,1.97,,,6.0,2.0,2.3333333333333335,1.0,1.0,1.3333333333333333,-1.6666666666666667,3.0,1.0,0.0,2.0,0.7246376811594204,0.19379844961240308,0.1267427122940431,1.0451788430658666,0.6933145326916593,0.18542132851056,0.1212641387977807,9,109,True,H1,29,21.0,0.0,21.0,0.0
2024-09-14,2024/2025,Crystal Palace,Leicester,2,2,1.63,4.14,5.38,D,1473.5,1477.8,-4.1,-8.846666666666666,0.14,-0.14,,,0.0,0.6666666666666666,1.6666666666666667,1.0,1.0,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,0.0,2.0,0.6134969325153374,0.24154589371980678,0.1858736059479554,1.0409164321830995,0.5893815425976693,0.23205118706140124,0.17856727034092956,9,109,True,H1,29,21.0,0.0,21.0,0.0
